,00400020_01,00400020_02,00400020_03,00400020_04,00400020_0F,00400020_05,00400020_06,00400020_10,00400020_0D,00400020_07,00400020_08,00400020_0E,00400020_09,00400020_0A,00400020_0B,00400020_0C,00020001_01,00020001_02,00020001_03,00020001_04,00020001_0F,00020001_05,00020001_06,00020001_10,00020001_0D,00020001_07,00020001_08,00020001_0E,00020001_09,00020001_0A,00020001_0B,00020001_0C
1-1,1,,,,,1,,,,,1,,,,,1,1,1,1,1,1,,,,1,,,,1,,,
1-2,,1,,,1,,1,,,,,1,,,,,1,1,1,1,,1,,,,1,,,,1,,
1-3,,,1,,,1,,1,1,,,,,,,,1,1,1,1,,,1,,,,1,,,,1,
1-4,,,,1,,,1,,,1,,,1,,,,1,1,1,1,,,,1,,,,1,,,,1
2-1,,1,,,1,,,,,1,,,,,1,,1,,,,1,1,1,1,1,,,,1,,,
2-2,1,,1,,,1,,,1,,1,,,,,1,,1,,,1,1,1,1,,1,,,,1,,
2-3,,1,,1,,,1,,,1,,1,1,,,,,,1,,1,1,1,1,,,1,,,,1,
2-4,,,1,,,,,1,,,1,,,1,,,,,,1,1,1,1,1,,,,1,,,,1
3-1,,,1,,,1,,,1,,,,,1,,,1,,,,1,,,,1,1,1,1,1,,,
3-2,,,,1,1,,1,,,1,,,1,,1,,,1,,,,1,,,1,1,1,1,,1,,
3-3,1,,,,,1,,1,,,1,,,1,,1,,,1,,,,1,,1,1,1,1,,,1,
3-4,,1,,,,,1,,,,,1,,,1,,,,,1,,,,1,1,1,1,1,,,,1
4-1,,,,1,,,1,,,1,,,1,,,,1,,,,1,,,,1,,,,1,1,1,1
4-2,,,,,,,,1,1,,1,,,1,,,,1,,,,1,,,,1,,,1,1,1,1
4-3,,,,,1,,,,,1,,1,,,1,,,,1,,,,1,,,,1,,1,1,1,1
4-4,1,,,,,1,,,,,1,,,,,1,,,,1,,,,1,,,,1,1,1,1,1
